primary_cluster,secondary_cluster,"더불어민주당
이재명","국민의힘
윤석열","정의당
심상정","기본소득당
오준호","국가혁명당 
허경영","노동당
이백윤","새누리당
옥은호","신자유민주연합
김경재","우리공화당
조원진","진보당
김재연","통일한국당
이경희","한류연합당
김민찬",invalid,blank
경기도,가평군,16684,23870,872,30,402,16,6,18,47,44,30,30,463,13106
강원도,춘천시,82376,94926,5294,116,1775,83,27,26,98,202,58,67,1598,56757
강원도,원주시,100954,113560,6105,143,2595,58,38,63,228,267,83,111,2034,76642
강원도,강릉시,54377,80482,3434,80,1511,41,31,41,121,173,55,74,1304,44099
강원도,동해시,22896,31739,1359,24,757,14,8,14,57,55,23,21,548,19632
강원도,삼척시,16297,25308,897,25,457,25,9,22,32,58,48,34,430,12591
강원도,태백시,10846,15101,489,11,295,8,1,5,21,24,18,18,202,8512
강원도,정선군,10103,13643,494,8,297,4,1,6,21,43,28,18,232,7203
강원도,속초시,21713,28342,1230,16,627,17,6,13,23,37,17,18,457,19055
강원도,고성군,7433,10840,427,8,216,5,2,3,10,20,18,18,218,5450
강원도,양양군,7343,11495,434,4,222,3,8,2,13,10,14,6,162,5541
강원도,인제군,8937,11591,501,20,333,4,4,8,14,36,14,25,349,6061
강원도,홍천군,18418,25851,1049,37,593,15,11,19,31,144,32,34,463,14175
강원도,횡성군,12557,18546,676,19,405,12,4,7,30,40,25,18,286,9060
강원도,영월군,10758,14904,536,13,309,14,2,13,39,43,27,15,252,7381
강원도,평창군,11463,16571,564,17,366,5,8,7,34,33,26,25,234,7972
강원도,화천군,6445,9009,433,12,283,6,6,4,18,26,7,18,227,4594
강원도,양구군,5689,7878,387,13,260,4,8,2,14,23,16,20,215,4036
강원도,철원군,11039,15194,722,16,367,5,7,7,20,26,16,20,407,9402
충청북도,청주시상당구,55852,59685,3548,89,1267,61,23,34,87,112,45,73,1322,40751
충청북도,청주시서원구,56323,61745,3499,94,1240,54,34,24,66,123,41,64,1419,40480
충청북도,청주시흥덕구,76940,77952,4770,96,1745,41,28,33,94,140,59,63,1722,59652
충청북도,청주시청원구,56679,54855,3331,54,1283,35,20,31,94,123,56,70,1205,41835
충청북도,충주시,58801,70382,3270,75,1509,53,29,45,110,122,104,89,1259,45128
충청북도,제천시,36442,46482,1922,44,1000,28,14,15,93,97,83,74,797,27226
충청북도,단양군,7271,11969,387,12,207,7,6,9,33,32,64,26,170,5555
충청북도,영동군,12029,18238,664,11,347,20,4,14,26,49,33,24,336,9370
충청북도,보은군,8757,12754,525,12,275,8,10,9,26,29,37,28,247,6254
충청북도,옥천군,14138,18241,864,31,400,15,5,13,32,67,55,28,353,10429
충청북도,음성군,26700,28700,1310,33,700,23,15,28,43,66,41,43,614,22630
충청북도,진천군,25402,23759,1361,34,672,17,8,17,28,73,30,33,498,19374
충청북도,괴산군,10304,15895,546,22,245,18,9,11,23,34,30,27,255,7400
충청북도,증평군,10215,11264,560,7,275,5,8,5,24,16,20,11,243,8300
충청남도,천안시서북구,115553,110141,6568,152,2673,59,32,39,134,200,63,122,2418,91456
충청남도,천안시동남구,71851,77739,4085,83,1775,48,22,38,97,150,47,88,1410,58760
충청남도,공주시,28472,37339,1423,43,695,21,6,16,57,89,48,42,621,22812
충청남도,보령시,26207,36419,1367,37,655,28,14,18,55,103,59,70,683,20538
충청남도,아산시,93262,89998,4976,104,2193,85,34,42,120,169,55,72,1817,72209
충청남도,서산시,48642,54892,2640,69,1264,61,19,21,69,111,59,73,1070,39211
충청남도,태안군,16678,23511,873,17,323,18,3,14,31,53,53,43,411,13292
충청남도,금산군,14002,18178,647,26,331,8,7,14,23,49,42,37,335,11100
충청남도,논산시,33822,36203,1601,35,788,17,12,22,67,113,81,47,704,26773
충청남도,계룡시,11891,14718,799,22,243,5,4,14,13,32,4,14,233,6753
충청남도,당진시,46903,49230,2258,35,1157,44,14,24,76,152,49,62,870,38607
충청남도,부여군,16813,25136,878,28,438,19,4,17,34,103,57,43,405,13598
충청남도,서천군,15443,18168,688,19,263,14,8,13,26,74,47,48,325,10861
충청남도,홍성군,25860,33581,1536,28,611,28,6,9,38,65,60,49,545,21963
충청남도,청양군,7688,12932,416,23,223,7,6,3,12,33,23,21,201,6166
충청남도,예산군,16904,32098,1034,29,537,15,9,10,47,90,44,33,499,17715
전라북도,전주시완산구,188693,35152,3907,98,1371,53,21,31,50,112,45,97,1817,54381
전라북도,전주시덕진구,175845,32731,4006,58,1370,48,10,27,40,139,33,97,1591,49054
전라북도,군산시,144395,27400,2613,80,1241,44,13,17,40,129,37,130,1200,47810
전라북도,익산시,154719,28076,3074,78,1335,45,24,32,46,153,47,153,1528,50030
전라북도,정읍시,63487,9085,1040,33,476,24,16,17,21,71,41,134,647,18502
전라북도,남원시,47470,7163,731,40,366,39,13,9,18,47,35,128,450,12681
전라북도,김제시,48952,7164,750,38,398,15,5,13,13,33,26,96,523,14259
전라북도,완주군,52862,8443,1063,24,412,24,7,9,18,52,16,79,472,14636
전라북도,진안군,15637,2572,264,9,93,10,2,6,7,13,20,47,175,3713
전라북도,무주군,13292,3426,313,14,135,7,3,3,5,14,13,43,161,3815
전라북도,장수군,13564,2063,222,13,114,9,4,3,3,14,8,61,152,3141
전라북도,임실군,16930,2416,253,16,123,9,1,6,4,13,20,89,177,4129
전라북도,순창군,16980,2211,230,12,106,14,3,4,7,38,20,62,192,3968
전라북도,고창군,33000,4335,518,15,208,22,8,13,10,40,27,135,376,8948
전라북도,부안군,31037,4572,467,14,227,14,5,9,17,28,21,113,332,8846
전라남도,목포시,125790,14936,2021,69,997,45,14,19,20,156,24,98,998,38472
전라남도,여수시,162006,21986,2266,82,1369,52,24,35,36,183,43,230,1305,47838
전라남도,순천시,162566,23709,2780,76,1205,60,21,50,28,295,46,132,1444,42915
전라남도,나주시,68994,9512,1019,32,492,32,17,20,20,132,40,121,645,18041
전라남도,광양시,81441,15843,1560,46,865,20,12,16,22,160,23,93,775,25768
전라남도,담양군,30076,3435,396,20,204,15,5,9,14,46,25,97,290,7066
전라남도,장성군,27132,3566,386,18,189,6,7,4,5,26,19,69,239,6820
전라남도,곡성군,17472,2380,305,22,132,14,5,8,8,35,20,84,232,4426
전라남도,구례군,16137,2352,232,12,114,10,1,7,3,46,5,40,173,3638
전라남도,고흥군,40466,5120,507,34,263,27,11,12,9,60,31,151,480,10243
전라남도,보성군,25214,3102,322,21,179,12,3,12,8,70,14,73,293,6527
전라남도,화순군,39327,4389,475,20,268,19,7,17,8,128,23,93,378,9970
전라남도,장흥군,23565,2555,301,14,159,11,8,6,7,88,14,91,229,5664
전라남도,강진군,21064,3010,298,24,141,15,5,10,6,43,17,53,274,5312
전라남도,완도군,31062,3085,347,14,200,11,4,16,6,64,20,115,356,7467
전라남도,해남군,42071,4690,510,33,288,28,5,9,15,96,27,126,543,11190
전라남도,진도군,18692,2313,219,17,141,15,1,8,15,32,8,69,214,5058
전라남도,영암군,31909,4092,521,27,269,14,4,7,10,40,17,74,349,9174
전라남도,무안군,52983,6624,808,29,363,21,13,7,19,63,23,106,493,13460
전라남도,영광군,30855,4056,475,22,221,16,5,17,10,89,34,142,379,8959
전라남도,함평군,20467,2052,259,16,118,12,2,9,9,37,17,91,206,5140
전라남도,신안군,25583,2742,272,24,145,18,5,6,18,28,17,98,257,5962
경상북도,포항시북구,45053,130458,3911,73,1539,54,30,57,182,128,73,48,1440,49024
경상북도,포항시남구,38517,106712,3250,72,1690,32,19,44,121,140,81,62,1444,45282
경상북도,울릉군,1590,4815,109,3,66,0,3,2,7,3,1,6,48,1488
경상북도,경주시,43031,123196,3380,72,1818,73,30,52,235,230,102,84,1456,46814
경상북도,김천시,22122,69272,1838,70,990,21,18,22,116,84,77,63,882,25171
경상북도,안동시,30870,71881,1674,49,979,31,28,31,121,77,133,78,998,29357
경상북도,구미시,67054,173950,5537,124,3207,57,45,60,327,173,99,110,2468,85599
경상북도,영주시,17937,50214,1153,27,571,15,14,18,66,72,77,43,562,18611
경상북도,영천시,14332,53537,1119,33,782,17,27,21,120,92,59,64,739,20102
경상북도,상주시,13660,51935,1097,43,617,29,17,27,100,85,101,57,691,16641
경상북도,문경시,9912,37738,808,41,413,13,4,22,114,55,83,39,478,13315
경상북도,예천군,9147,28320,653,26,286,17,14,15,74,39,87,37,413,8549
경상북도,경산시,40267,128158,3533,103,1859,51,32,48,289,156,69,85,1756,54391
경상북도,청도군,5654,24036,489,17,266,12,5,15,50,42,54,27,286,7863
경상북도,고령군,3852,17464,317,22,216,8,5,9,50,43,42,18,224,5685
경상북도,성주군,5775,24975,472,24,278,14,7,16,55,42,49,23,279,7482
경상북도,칠곡군,17603,50468,1369,44,1049,26,16,24,103,56,43,32,659,24689
경상북도,군위군,2511,15032,216,14,155,4,2,11,30,26,46,22,170,3545
경상북도,의성군,6431,31176,545,28,365,15,16,16,45,92,72,38,406,8124
경상북도,청송군,3716,14268,298,16,155,5,4,4,48,32,52,13,178,4004
경상북도,영양군,2855,8968,208,11,68,5,1,9,19,11,35,11,136,2595
경상북도,영덕군,4342,20611,310,16,184,17,3,7,44,21,46,23,273,6330
경상북도,봉화군,5252,16451,361,15,209,7,9,10,49,24,76,22,222,5345
경상북도,울진군,6888,25287,476,21,266,12,7,10,66,40,50,41,380,8738
경상남도,창원시의창구,52289,82914,3805,68,1874,55,18,30,141,275,52,69,1473,42583
경상남도,창원시성산구,67177,93082,5428,70,1920,65,30,37,145,267,51,86,1715,43114
경상남도,창원시마산합포구,37657,77518,2618,48,1469,33,20,31,143,154,68,60,1109,36056
경상남도,창원시마산회원구,41527,77282,2911,87,1657,31,21,16,136,200,36,57,1272,35354
경상남도,창원시진해구,45890,66298,3075,53,1956,41,21,36,90,214,46,74,1418,40399
경상남도,진주시,74975,141433,5578,105,2573,76,40,33,184,500,125,138,2478,64604
경상남도,통영시,26387,49772,1573,42,1151,22,14,19,89,146,71,50,744,26281
경상남도,고성군,10348,22213,645,25,495,14,11,12,43,47,51,31,392,10726
경상남도,사천시,23424,44656,1581,34,926,25,13,16,65,147,65,64,756,22531
경상남도,김해시,150338,160401,8587,162,4534,75,48,67,251,418,106,171,3363,115821
경상남도,밀양시,21906,44881,1457,37,848,27,11,22,74,136,55,63,732,22268
경상남도,거제시,64355,71772,4186,84,2810,73,52,25,122,323,79,102,1498,48593
경상남도,의령군,5396,12625,349,22,190,9,6,7,25,74,47,47,292,5330
경상남도,함안군,13504,26066,921,25,614,23,12,9,60,78,32,33,414,12779
경상남도,창녕군,10934,28492,716,37,506,18,7,12,67,79,48,36,449,12636
경상남도,양산시,92137,116904,5364,107,3002,57,42,48,169,359,83,126,2103,73632
경상남도,하동군,11218,18974,723,32,415,15,10,11,34,72,83,59,443,7551
경상남도,남해군,10143,18503,676,19,346,21,3,12,29,66,44,46,389,8383
경상남도,함양군,8526,16957,528,23,340,17,14,11,39,67,65,29,339,7504
경상남도,산청군,7125,16607,464,24,218,9,4,9,34,82,42,28,267,6732
경상남도,거창군,11963,27254,895,46,490,19,18,12,42,92,62,52,454,11650
경상남도,합천군,6911,22742,511,30,311,24,9,16,62,96,68,52,438,8498
제주특별자치도,제주시,157695,122084,10007,189,2496,108,46,80,193,395,159,197,3177,111726
제주특별자치도,서귀포시,55435,50930,3591,78,1043,38,17,21,78,176,69,113,1234,42979
