primary_cluster,secondary_cluster,LJM (Democratic),KMS (BOSU),LJS (Reform),KYK (Minno),SJH (Independent),invalid,blank
Chungcheongnam-do,아산시,113159,85540,20368,2330,187,1626,71104
Chungcheongnam-do,서산시,53345,47476,8859,1046,137,861,36730
Chungcheongnam-do,태안군,17816,20762,2318,310,46,325,13050
Chungcheongnam-do,금산군,15073,16504,1867,227,45,265,10547
Chungcheongnam-do,논산시,34802,31519,4517,599,86,555,23893
Chungcheongnam-do,계룡시,14410,13332,2810,258,26,233,6770
Chungcheongnam-do,당진시,54989,45028,7605,994,123,734,36723
Chungcheongnam-do,부여군,17181,21621,2246,300,34,342,12494
Chungcheongnam-do,서천군,15339,15893,1701,238,54,275,10551
Chungcheongnam-do,홍성군,29489,30273,4675,699,81,511,20400
Chungcheongnam-do,청양군,8088,11213,1254,150,32,188,6240
Chungcheongnam-do,예산군,20135,29469,3355,413,58,411,17214
Jeollabuk-do,전주시완산구,185225,25513,14887,2035,277,1323,47910
Jeollabuk-do,전주시덕진구,176031,23805,15268,2091,218,1294,43026
Jeollabuk-do,군산시,145384,21599,9493,1292,181,1007,42594
Jeollabuk-do,익산시,156006,21426,10657,1414,220,1299,43666
Jeollabuk-do,정읍시,63097,6624,3133,531,124,541,16351
Jeollabuk-do,남원시,47213,5125,2193,447,100,447,11332
Jeollabuk-do,김제시,50871,5885,2454,387,111,416,13079
Jeollabuk-do,완주군,59889,7592,3783,701,105,525,14352
Jeollabuk-do,진안군,15601,2107,742,146,45,129,3466
Jeollabuk-do,무주군,13395,2876,785,135,47,145,3516
Jeollabuk-do,장수군,13085,1661,567,138,38,116,2983
Jeollabuk-do,임실군,16678,1849,686,138,46,156,3789
Jeollabuk-do,순창군,17922,1884,750,157,35,182,3254
Jeollabuk-do,고창군,32692,3515,1324,246,106,304,7536
Jeollabuk-do,부안군,30183,3535,1239,203,66,206,7955
Jeollanam-do,목포시,125013,11226,6461,1146,153,797,32875
Jeollanam-do,여수시,162538,16736,9896,1286,214,1094,39585
Jeollanam-do,순천시,165671,17828,11461,1486,219,1097,36559
Jeollanam-do,나주시,71784,6806,4371,676,123,581,15632
Jeollanam-do,광양시,86658,12945,7220,825,118,585,22777
Jeollanam-do,담양군,29833,2456,1276,224,78,178,6340
Jeollanam-do,장성군,27774,2678,1326,220,48,197,6085
Jeollanam-do,곡성군,17677,1806,724,195,56,202,3982
Jeollanam-do,구례군,16019,1879,627,130,32,134,3154
Jeollanam-do,고흥군,40708,3968,1304,266,124,377,8817
Jeollanam-do,보성군,24790,2415,864,198,65,219,5521
Jeollanam-do,화순군,39811,3159,1842,334,76,319,8765
Jeollanam-do,장흥군,22956,2021,819,182,80,195,4900
Jeollanam-do,강진군,20809,2278,849,182,54,216,4536
Jeollanam-do,완도군,30888,2152,1058,172,86,298,5867
Jeollanam-do,해남군,42205,3496,1576,294,99,384,8557
Jeollanam-do,진도군,18814,1702,780,122,57,200,3959
Jeollanam-do,영암군,32195,3006,1466,330,70,270,8297
Jeollanam-do,무안군,56222,5103,3479,551,102,448,11823
Jeollanam-do,영광군,32618,3172,1823,216,111,262,8000
Jeollanam-do,함평군,20528,1584,713,125,70,214,4244
Jeollanam-do,신안군,26430,2208,887,192,69,255,5791
Gyeongsangbuk-do,포항시북구,49724,120983,13386,1646,153,1146,46781
