primary_cluster,secondary_cluster,LJM (Democratic),KMS (BOSU),LJS (Reform),KYK (Minno),SJH (Independent),invalid,blank
강원특별자치도,태백시,"10,894","13,277","1,430",192,20,176,"7,433"
강원특별자치도,정선군,"10,241","12,195","1,219",155,29,180,"6,558"
강원특별자치도,속초시,"23,389","24,910","3,598",470,51,329,"17,587"
강원특별자치도,고성군,"7,890","9,835","1,237",143,22,162,"5,104"
강원특별자치도,양양군,"8,061","10,304","1,017",140,12,136,"5,310"
강원특별자치도,인제군,"9,136","10,099","1,964",185,45,237,"5,717"
강원특별자치도,홍천군,"19,301","23,549","2,962",335,59,418,"13,283"
강원특별자치도,횡성군,"13,347","17,208","1,769",237,36,266,"8,862"
강원특별자치도,영월군,"11,089","13,400","1,395",187,37,194,"6,948"
강원특별자치도,평창군,"11,594","14,937","1,728",224,27,208,"8,035"
강원특별자치도,화천군,"6,260","7,734","1,401",157,27,157,"4,278"
강원특별자치도,양구군,"5,706","6,778","1,240",119,22,134,"3,714"
강원특별자치도,철원군,"11,189","13,232","2,128",205,40,253,"8,309"
충청북도,청주시상당구,"63,093","53,983","10,648","1,360",132,918,"37,163"
충청북도,청주시서원구,"58,100","51,715","11,315","1,363",130,911,"34,878"
충청북도,청주시흥덕구,"91,724","72,187","19,240","1,959",211,"1,494","55,721"
충청북도,청주시청원구,"61,240","47,301","11,453","1,223",144,901,"36,454"
충청북도,충주시,"64,128","62,940","10,909","1,158",137,981,"41,412"
충청북도,제천시,"39,127","42,170","5,997",734,103,689,"25,155"
충청북도,단양군,"7,645","10,874","1,080",123,22,157,"5,109"
충청북도,영동군,"12,321","16,217","1,730",261,32,263,"8,730"
충청북도,보은군,"9,194","11,344","1,124",186,34,189,"5,829"
충청북도,옥천군,"15,013","16,673","2,045",310,57,305,"9,460"
충청북도,음성군,"29,604","26,136","4,132",514,75,481,"20,920"
충청북도,진천군,"28,558","21,155","4,205",516,81,409,"17,972"
충청북도,괴산군,"10,858","14,080","1,252",240,29,221,"6,848"
충청북도,증평군,"11,385","10,290","1,854",222,41,203,"7,933"
충청남도,천안시서북구,"126,874","95,629","26,081","2,651",254,"1,967","81,887"
충청남도,천안시동남구,"82,181","71,043","14,806","1,703",196,"1,214","54,373"
충청남도,공주시,"31,344","32,935","4,688",510,86,570,"20,904"
충청남도,보령시,"27,091","31,871","3,942",465,74,516,"18,938"
충청남도,아산시,"113,159","85,540","20,368","2,330",187,"1,626","71,104"
충청남도,서산시,"53,345","47,476","8,859","1,046",137,861,"36,730"
충청남도,태안군,"17,816","20,762","2,318",310,46,325,"13,050"
충청남도,금산군,"15,073","16,504","1,867",227,45,265,"10,547"
충청남도,논산시,"34,802","31,519","4,517",599,86,555,"23,893"
충청남도,계룡시,"14,410","13,332","2,810",258,26,233,"6,770"
충청남도,당진시,"54,989","45,028","7,605",994,123,734,"36,723"
충청남도,부여군,"17,181","21,621","2,246",300,34,342,"12,494"
충청남도,서천군,"15,339","15,893","1,701",238,54,275,"10,551"
충청남도,홍성군,"29,489","30,273","4,675",699,81,511,"20,400"
충청남도,청양군,"8,088","11,213","1,254",150,32,188,"6,240"
충청남도,예산군,"20,135","29,469","3,355",413,58,411,"17,214"
전북특별자치도,전주시완산구,"185,225","25,513","14,887","2,035",277,"1,323","47,910"
전북특별자치도,전주시덕진구,"176,031","23,805","15,268","2,091",218,"1,294","43,026"
전북특별자치도,군산시,"145,384","21,599","9,493","1,292",181,"1,007","42,594"
전북특별자치도,익산시,"156,006","21,426","10,657","1,414",220,"1,299","43,666"
